GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,NoContentTypeResolver,5,0,0,0,2,0,2,0,2,0
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3ClientMultipartUpload,12,0,0,0,2,0,2,0,2,0
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3OutputStream.UploadConsumerBuffer,0,15,0,0,0,6,0,3,0,3
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,FileMockS3ClientMultipartUpload.MultipartUploadState,0,30,0,0,0,10,0,5,0,5
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,ObjectMetadata,0,401,0,56,0,116,0,59,0,31
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,AwsS3ClientMultipartUpload.Builder,0,27,0,0,0,8,0,4,0,4
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,ObjectMetadata.Builder,4,223,1,1,1,63,1,31,0,31
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3OutputStream.Builder,14,73,2,2,4,21,3,8,1,8
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,DefaultContentTypeResolver,0,439,1,7,0,93,1,8,0,5
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3OutputStream.UploadConsumer,4,54,0,2,3,9,0,3,0,2
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,MultipartUploadRequest,0,27,0,0,0,9,0,5,0,5
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,S3OutputStream,42,316,7,23,12,77,7,21,0,13
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,FileMockS3ClientMultipartUpload,151,152,8,10,12,35,9,8,1,7
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,MultipartUploadRequest.Builder,0,32,0,0,0,9,0,4,0,4
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,FileMockS3ClientMultipartUpload.Builder,0,12,0,0,0,3,0,2,0,2
io.github.ci-cmg:aws-s3-outputstream,edu.colorado.cires.cmg.s3out,AwsS3ClientMultipartUpload,77,50,0,0,25,11,4,4,4,4
