GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ci-cmg:h3-geometry-generator,edu.colorado.cires.cmg.geometry_generator.h3,H3JTSConverter,0,7,0,0,0,1,0,1,0,1
io.github.ci-cmg:h3-geometry-generator,edu.colorado.cires.cmg.geometry_generator.h3,H3JTSConverterImpl,0,107,0,2,0,18,0,11,0,10
io.github.ci-cmg:h3-geometry-generator,edu.colorado.cires.cmg.geometry_generator.collector,DouglasPeuckerCellCollector,6,56,1,3,1,15,1,4,0,3
io.github.ci-cmg:h3-geometry-generator,edu.colorado.cires.cmg.geometry_generator.collector,CellCollector,6,17,0,0,2,8,1,6,1,6
io.github.ci-cmg:h3-geometry-generator,edu.colorado.cires.cmg.geometry_generator,GeometryGenerator,0,25,0,0,0,8,0,2,0,2
io.github.ci-cmg:h3-geometry-generator,edu.colorado.cires.cmg.geometry_generator.reader.csv,CSVCoordinateReader,0,48,0,0,0,14,0,3,0,3
io.github.ci-cmg:h3-geometry-generator,edu.colorado.cires.cmg.geometry_generator.reader.tif,GeoTiffCoordinateReader.RasterValue,0,12,0,0,0,5,0,1,0,1
io.github.ci-cmg:h3-geometry-generator,edu.colorado.cires.cmg.geometry_generator.reader.tif,GeoTiffCoordinateReader,9,151,0,4,3,24,1,12,1,10
io.github.ci-cmg:h3-geometry-generator,edu.colorado.cires.cmg.geometry_generator.reader.tif,CloseableGeotiffReader,0,7,0,0,0,4,0,2,0,2
io.github.ci-cmg:h3-geometry-generator,edu.colorado.cires.cmg.geometry_generator.reader.tif,GeoTiffCoordinateReader.PixelValue,0,12,0,0,0,5,0,1,0,1
