GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,GeoTiffMetadata,0,87,0,0,0,19,0,8,0,8
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,BufferedHull,0,19,0,2,0,7,0,3,0,2
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,InvertCoordinateFilter,0,14,0,0,0,5,0,2,0,2
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,GeoJSONReader,0,30,0,0,0,7,0,3,0,3
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,CompleteHull,0,4,0,0,0,2,0,1,0,1
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,BaseGeometryProcessor,36,210,4,14,4,41,4,14,0,9
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,WktWriter,0,34,0,2,0,10,0,3,0,2
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,GeoTiffTags,3,0,0,0,1,0,1,0,1,0
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,GeoJSONWriter,0,34,0,2,0,10,0,3,0,2
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,MultiFileHullMerger,14,66,0,4,2,17,0,5,0,3
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,SimplifyingGeometryProcessor,0,94,0,6,0,21,0,8,0,5
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,CompleteGeometryProcessor,0,5,0,0,0,2,0,1,0,1
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,CSVProcessor,0,69,0,2,0,16,0,4,0,3
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,WktReader,0,30,0,0,0,7,0,3,0,3
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,HullGenerator,0,26,0,0,0,8,0,2,0,2
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,GeoTiffProcessor,20,319,7,15,1,67,7,12,0,8
io.github.ci-cmg:h3-hull-generator,edu.colorado.cires.cmg.hullgen,BaseHull,0,44,0,0,0,11,0,4,0,4
