GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts.model,JtsLayer,20,154,12,16,1,30,10,14,0,10
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts.model,JtsMvt,27,70,3,5,5,16,7,7,4,6
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.Feature.Builder,439,275,35,25,120,85,59,20,36,10
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile,217,156,20,12,57,39,38,15,25,12
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.Feature,322,303,44,26,77,77,56,21,29,13
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.new AbstractParser() {...},22,14,0,0,7,5,0,2,0,2
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.Value,524,314,87,37,132,71,82,27,30,17
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.Layer.new AbstractParser() {...},22,14,0,0,7,5,0,2,0,2
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.GeomType,38,73,4,3,10,15,9,6,6,4
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.Layer.Builder,1320,405,160,34,347,120,164,27,76,15
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.Value.Builder,603,193,57,20,160,59,83,15,48,8
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.Value.new AbstractParser() {...},22,14,0,0,7,5,0,2,0,2
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.Layer,447,394,66,34,111,88,77,26,36,17
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile,143,0,0,0,19,0,4,0,4,0
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.Feature.new AbstractParser() {...},22,14,0,0,7,5,0,2,0,2
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.Builder,580,128,69,14,152,43,79,10,40,7
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt,VectorTile.Tile.GeomType.new Internal.EnumLiteMap() {...},3,3,0,0,1,1,1,1,1,1
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.encoding,MvtValue,46,103,14,24,9,26,14,9,1,3
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.encoding,ZigZag,3,17,0,0,1,2,1,2,1,2
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.encoding,GeomCmd,2,70,1,3,1,18,1,7,0,5
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.encoding,GeomCmdHdr,3,37,0,0,1,8,1,6,1,6
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.encoding,MvtUtil,3,12,0,2,1,5,1,2,1,1
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.build,MvtLayerBuild,3,41,0,2,1,11,1,3,1,2
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.build,MvtLayerParams,10,30,2,2,2,10,2,3,0,3
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.build,MvtLayerProps,16,66,2,4,3,15,4,6,2,5
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.util,JtsGeomStats,89,204,11,13,19,40,10,11,2,6
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.util,JdkUtils,4,17,1,3,1,6,1,3,0,2
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.util,Vec2d,67,44,0,0,12,13,6,5,6,5
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.util,JtsGeomStats.FeatureStats,0,20,0,0,0,2,0,2,0,2
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts,UserDataIgnoreConverter,0,4,0,0,0,2,0,2,0,2
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts,MvtReader,35,657,23,45,17,120,24,21,1,9
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts,TileGeomResult,0,15,0,0,0,6,0,1,0,1
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts,MvtReader.PolyRingClassifierV1,1,100,2,18,1,22,2,9,0,1
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts,MvtReader.PolyRingClassifierV2_1,88,0,14,0,23,0,8,0,1,0
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts,GeomMinSizeFilter,60,0,16,0,16,0,10,0,2,0
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts,TagKeyValueMapConverter,33,86,13,9,8,18,11,4,1,3
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts,UserDataKeyValueMapConverter,62,58,21,7,14,18,14,3,1,2
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts,TagIgnoreConverter,5,0,0,0,2,0,2,0,2,0
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts,MvtEncoder,3,56,0,2,1,14,1,3,1,2
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts,JtsAdapter,102,702,41,77,28,146,37,40,2,16
io.github.ci-cmg:mapbox-vector-tile,edu.colorado.cires.cmg.mvt.adapt.jts,RoundingFilter,0,30,0,0,0,6,0,4,0,4
