GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeometrySimplifier,0,24,0,0,0,6,0,2,0,2
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,PointState,11,29,0,0,1,12,1,7,1,7
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeoJsonMultiLineWriter,128,245,2,6,31,83,3,16,2,13
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,SimplifiedPointCountExceededException,0,4,0,0,0,2,0,1,0,1
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeoJsonMultiLineParser.new TypeReference() {...},0,3,0,0,0,1,0,1,0,1
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,ValidationRuntimeException,0,5,0,0,0,2,0,1,0,1
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeoJsonMultiLineParser,167,950,27,78,37,212,26,45,4,14
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,AntimeridianUtils,168,400,21,47,19,58,15,29,1,9
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,BaseRowListenerConfiguration,5,84,0,0,1,25,1,13,1,13
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,BaseRowListenerConfiguration.Builder,50,71,0,0,13,26,1,13,1,13
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeometryProperties,0,45,0,0,0,14,0,7,0,7
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,BaseRowListener,97,1207,13,140,28,254,13,95,3,28
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,TracklineProcessor,0,33,0,2,0,11,0,3,0,2
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,ValidationException,16,9,0,0,4,3,2,1,2,1
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeoJsonMultiLineProcessor,14,70,0,0,4,18,0,5,0,5
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeometryProperties.Builder,8,79,0,0,2,24,1,10,1,10
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,GeometryFactoryFactory,0,8,0,0,0,1,0,1,0,1
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,RowProcessor,0,32,0,0,0,9,0,7,0,7
io.github.ci-cmg:trackline-simplifier,edu.colorado.cires.cmg.tracklinegen,BaseRowListener.Sign,0,24,0,0,0,3,0,1,0,1
