GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Attribute.Builder,46,0,0,0,13,0,5,0,5,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,TaxonomicDataset.Builder,62,0,2,0,12,0,7,0,6,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Variable,124,28,12,0,29,3,19,1,13,1
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Metadata.Builder,46,0,0,0,13,0,5,0,5,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,TaxonomicDataset,92,18,8,0,22,2,15,1,11,1
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,ProfileData.Builder,82,0,0,0,21,0,7,0,7,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,ProfileData,171,46,14,0,32,5,24,1,17,1
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Depth.Builder,116,0,2,0,26,0,10,0,9,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,PrincipalInvestigator,112,26,10,0,24,3,18,1,13,1
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Depth,195,48,16,0,41,5,25,1,17,1
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,QcAttribute,171,46,14,0,32,5,24,1,17,1
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Variable.Builder,80,0,2,0,18,0,8,0,7,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Attribute,113,26,10,0,24,3,18,1,13,1
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Cast.Builder,146,654,20,16,23,118,30,18,16,14
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,PrincipalInvestigator.Builder,46,0,0,0,13,0,5,0,5,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,QcAttribute.Builder,82,0,0,0,21,0,7,0,7,0
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Cast,480,589,65,1,77,97,60,31,27,31
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,RowUtils,66,20,8,2,15,5,6,1,1,1
io.github.ci-cmg.wod:wod-parquet-model,edu.colorado.cires.wod.parquet.model,Metadata,113,26,10,0,24,3,18,1,13,1
